name,merged
Bethel,Bethel
Bridgeport,Bridgeport
Brookfield,Brookfield
Danbury,Danbury
Darien,Darien
Easton,Easton
Fairfield,Fairfield
Greenwich,Greenwich
Monroe,Monroe
New Canaan,New Canaan
New Fairfield,New Fairfield
Newtown,Newtown
Norwalk,Norwalk
Redding,Redding
Ridgefield,Ridgefield
Shelton,Shelton
Sherman,Sherman
Stamford,Stamford
Stratford,Stratford
Trumbull,Trumbull
Weston,Weston
Westport,Westport
Wilton,Wilton
Bozrah,Bozrah
Colchester,Colchester
East Lyme,East Lyme
Franklin,Franklin
Griswold,Griswold
Groton,Groton
Lebanon,Lebanon
Ledyard,Ledyard
Lisbon,Lisbon
Lyme,Lyme
Montville,Montville
New London,New London
North Stonington,North Stonington
Norwich,Norwich
Old Lyme,Old Lyme
Preston,Preston
Salem,Salem
Sprague,Sprague
Stonington,Stonington
Voluntown,Voluntown
Waterford,Waterford
Ashford,Ashford
Brooklyn,Brooklyn
Canterbury,Canterbury
Chaplin,Chaplin
Eastford,Eastford
Hampton,Hampton
Killingly,Killingly
Plainfield,Plainfield
Pomfret,Pomfret
Putnam,Putnam
Andover,Andover
Bolton,Bolton
Columbia,Columbia
Coventry,Coventry
Ellington,Ellington
Hebron,Hebron
Mansfield,Mansfield
Scotland,Scotland
Sterling,Sterling
Thompson,Thompson
Windham,Windham
Woodstock,Woodstock
Somers,Somers
Stafford,Stafford
Tolland,Tolland
Union,Union
Vernon,Vernon
Willington,Willington
Avon,Avon
Berlin,Berlin
Bloomfield,Bloomfield-West Hartford
Bristol,Bristol
Burlington,Burlington
Canton,Canton
East Granby,East Granby
East Hartford,East Hartford
East Windsor,East Windsor
Enfield,Enfield
Farmington,Farmington
Glastonbury,Glastonbury
Granby,Granby
Hartford,Hartford
Hartland,Hartland
Manchester,Manchester
Marlborough,Marlborough
New Britain,New Britain
Newington,Newington
Plainville,Plainville
Rocky Hill,Rocky Hill
Simsbury,Simsbury
Southington,Southington
South Windsor,South Windsor
Suffield,Suffield
West Hartford,Bloomfield-West Hartford
Wethersfield,Wethersfield
Windsor,Windsor
Windsor Locks,Windsor Locks
Chester,Chester
Clinton,Clinton
Cromwell,Cromwell
Deep River,Deep River
Durham,Durham
East Haddam,East Haddam
East Hampton,East Hampton
Essex,Essex
Haddam,Haddam
Killingworth,Killingworth
Middlefield,Middlefield
Middletown,Middletown
Old Saybrook,Old Saybrook
Portland,Portland
Westbrook,Westbrook
Barkhamsted,Barkhamsted
Bethlehem,Bethlehem
Bridgewater,Bridgewater
Canaan,Canaan
Colebrook,Colebrook
Cornwall,Cornwall
Goshen,Goshen
Harwinton,Harwinton
Kent,Kent
Litchfield,Litchfield
Morris,Morris
New Hartford,New Hartford
New Milford,New Milford
Norfolk,Norfolk
North Canaan,North Canaan
Plymouth,Plymouth
Roxbury,Roxbury
Salisbury,Salisbury
Sharon,Sharon
Thomaston,Thomaston
Torrington,Torrington
Warren,Warren
Washington,Washington
Watertown,Watertown
Winchester,Winchester
Woodbury,Woodbury
Ansonia,Ansonia
Beacon Falls,Beacon Falls
Bethany,Bethany
Branford,Branford
Cheshire,Cheshire
Derby,Derby
East Haven,East Haven
Guilford,Guilford
Hamden,Hamden
Madison,Madison
Meriden,Meriden
Middlebury,Middlebury
Milford,Milford
Naugatuck,Naugatuck
New Haven,New Haven
North Branford,North Branford
North Haven,North Haven
Orange,Orange
Oxford,Oxford
Prospect,Prospect
Seymour,Seymour
Southbury,Southbury
Wallingford,Wallingford
Waterbury,Waterbury
West Haven,West Haven
Wolcott,Wolcott
Woodbridge,Woodbridge